originalPath,preparedPath,newFileName,layoutType,style,color,material,visibleFeatures,confidence,needs_review,reason,alt
E:\фото кухни 3\IMG_20240912_234416.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-022-side-059.webp,pryamaya-kuhnya-minimalizm-kombinacii-022-side-059.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,bez-ruchek|penal|vstroennaya-tehnika,medium,true,"Кухня в процессе монтажа, часть помещения не завершена.",Прямая комбинированная кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20240927_112720.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-loft-kombinacii-023-main.webp,uglovaya-kuhnya-loft-kombinacii-023-main.webp,uglovaya-kuhnya,loft,kombinacii,unknown,matovye-fasady|bez-ruchek|do-potolka|penal|vstroennaya-tehnika,medium,true,Угловая кухня с бетонным потолком и тёмно-деревянными элементами; стиль loft требует подтверждения.,Угловая комбинированная кухня в стиле лофт до потолка
E:\фото кухни 3\IMG_20240927_112734.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-loft-kombinacii-023-side-061.webp,uglovaya-kuhnya-loft-kombinacii-023-side-061.webp,uglovaya-kuhnya,loft,kombinacii,unknown,matovye-fasady|bez-ruchek|do-potolka|penal|vstroennaya-tehnika,medium,true,Угловая кухня с бетонным потолком и тёмно-деревянными элементами; стиль loft требует подтверждения.,Угловая комбинированная кухня в стиле лофт до потолка
E:\фото кухни 3\IMG_20240927_112741.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-loft-kombinacii-023-extra-02-062.webp,uglovaya-kuhnya-loft-kombinacii-023-extra-02-062.webp,uglovaya-kuhnya,loft,kombinacii,unknown,matovye-fasady|bez-ruchek|do-potolka|penal|vstroennaya-tehnika,medium,true,Угловая кухня с бетонным потолком и тёмно-деревянными элементами; стиль loft требует подтверждения.,Угловая комбинированная кухня в стиле лофт до потолка
E:\фото кухни 3\IMG_20241108_211337.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-sovremennaya-kombinacii-024-main.webp,uglovaya-kuhnya-sovremennaya-kombinacii-024-main.webp,uglovaya-kuhnya,sovremennaya,kombinacii,unknown,matovye-fasady|vstroennaya-tehnika|derevyannaya-stoleshnica,high,false,"Одна угловая кухня с деревянной столешницей, два ракурса.",Угловая комбинированная кухня в современном стиле
E:\фото кухни 3\IMG_20241108_211345.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-sovremennaya-kombinacii-024-side-064.webp,uglovaya-kuhnya-sovremennaya-kombinacii-024-side-064.webp,uglovaya-kuhnya,sovremennaya,kombinacii,unknown,matovye-fasady|vstroennaya-tehnika|derevyannaya-stoleshnica,high,false,"Одна угловая кухня с деревянной столешницей, два ракурса.",Угловая комбинированная кухня в современном стиле
E:\фото кухни 3\IMG_20241117_171434.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-seraya-025-side-065.webp,kuhnya-s-ostrovom-minimalizm-seraya-025-side-065.webp,kuhnya-s-ostrovom,minimalizm,seraya,unknown,matovye-fasady|bez-ruchek|do-potolka|ostrov|podsvetka|vstroennaya-tehnika,high,false,"Серая кухня с островом, подсветкой и встроенной техникой.",Кухня с островом серая кухня в стиле минимализм до потолка
E:\фото кухни 3\IMG_20241117_171437.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-seraya-025-main.webp,kuhnya-s-ostrovom-minimalizm-seraya-025-main.webp,kuhnya-s-ostrovom,minimalizm,seraya,unknown,matovye-fasady|bez-ruchek|do-potolka|ostrov|podsvetka|vstroennaya-tehnika,high,false,"Серая кухня с островом, подсветкой и встроенной техникой.",Кухня с островом серая кухня в стиле минимализм до потолка
E:\фото кухни 3\IMG_20241216_195156.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-seraya-026-main.webp,pryamaya-kuhnya-sovremennaya-seraya-026-main.webp,pryamaya-kuhnya,sovremennaya,seraya,unknown,bez-ruchek|penal|vstroennaya-tehnika,medium,true,"Кадры в процессе ремонта, финальный вид нужно подтвердить.",Прямая серая кухня в современном стиле без ручек
E:\фото кухни 3\IMG_20241216_195202.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-seraya-026-side-068.webp,pryamaya-kuhnya-sovremennaya-seraya-026-side-068.webp,pryamaya-kuhnya,sovremennaya,seraya,unknown,bez-ruchek|penal|vstroennaya-tehnika,medium,true,"Кадры в процессе ремонта, финальный вид нужно подтвердить.",Прямая серая кухня в современном стиле без ручек
E:\фото кухни 3\IMG_20241221_010713.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-bezhevaya-027-main.webp,pryamaya-kuhnya-minimalizm-bezhevaya-027-main.webp,pryamaya-kuhnya,minimalizm,bezhevaya,unknown,matovye-fasady|bez-ruchek|do-potolka|penal|vstroennaya-tehnika,medium,true,"Один широкоугольный кадр, планировка требует ручной проверки.",Прямая бежевая кухня в стиле минимализм до потолка
E:\фото кухни 3\IMG_20241224_181828.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-neoklassika-belaya-028-main.webp,pryamaya-kuhnya-neoklassika-belaya-028-main.webp,pryamaya-kuhnya,neoklassika,belaya,unknown,vstroennaya-tehnika|penal,medium,true,"Жилой кадр с большим количеством предметов, пригодность для каталога требует отбора.",Прямая белая кухня в стиле неоклассика
E:\фото кухни 3\IMG_20241224_181834.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-neoklassika-belaya-028-side-071.webp,pryamaya-kuhnya-neoklassika-belaya-028-side-071.webp,pryamaya-kuhnya,neoklassika,belaya,unknown,vstroennaya-tehnika|penal,medium,true,"Жилой кадр с большим количеством предметов, пригодность для каталога требует отбора.",Прямая белая кухня в стиле неоклассика
E:\фото кухни 3\IMG_20250104_192432.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-bezhevaya-029-side-072.webp,uglovaya-kuhnya-minimalizm-bezhevaya-029-side-072.webp,uglovaya-kuhnya,minimalizm,bezhevaya,unknown,matovye-fasady|bez-ruchek,high,false,"Угловая бежевая кухня, два похожих ракурса.",Угловая бежевая кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20250104_192437.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-bezhevaya-029-main.webp,uglovaya-kuhnya-minimalizm-bezhevaya-029-main.webp,uglovaya-kuhnya,minimalizm,bezhevaya,unknown,matovye-fasady|bez-ruchek,high,false,"Угловая бежевая кухня, два похожих ракурса.",Угловая бежевая кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20250123_193523.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\malenkaya-kuhnya-sovremennaya-seraya-030-main.webp,malenkaya-kuhnya-sovremennaya-seraya-030-main.webp,malenkaya-kuhnya,sovremennaya,seraya,unknown,matovye-fasady|ostrov,medium,true,"Небольшая кухня с барной/островной зоной, категория требует подтверждения.",Маленькая серая кухня в современном стиле
E:\фото кухни 3\IMG_20250310_192307.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-031-main.webp,pryamaya-kuhnya-sovremennaya-kombinacii-031-main.webp,pryamaya-kuhnya,sovremennaya,kombinacii,unknown,matovye-fasady|penal|vstroennaya-tehnika,medium,true,"Фасады частично в защитной плёнке, финальный вид нужно подтвердить.",Прямая комбинированная кухня в современном стиле
E:\фото кухни 3\IMG_20250310_192321.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-031-side-076.webp,pryamaya-kuhnya-sovremennaya-kombinacii-031-side-076.webp,pryamaya-kuhnya,sovremennaya,kombinacii,unknown,matovye-fasady|penal|vstroennaya-tehnika,medium,true,"Фасады частично в защитной плёнке, финальный вид нужно подтвердить.",Прямая комбинированная кухня в современном стиле
E:\фото кухни 3\IMG_20250530_173736.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-seraya-032-side-077.webp,uglovaya-kuhnya-sovremennaya-seraya-032-side-077.webp,uglovaya-kuhnya,sovremennaya,seraya,unknown,matovye-fasady|derevyannaya-stoleshnica,medium,true,"Небольшая угловая кухня, фото на этапе ремонта.",Угловая серая кухня в современном стиле
E:\фото кухни 3\IMG_20250530_173812.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-seraya-032-main.webp,uglovaya-kuhnya-sovremennaya-seraya-032-main.webp,uglovaya-kuhnya,sovremennaya,seraya,unknown,matovye-fasady|derevyannaya-stoleshnica,medium,true,"Небольшая угловая кухня, фото на этапе ремонта.",Угловая серая кухня в современном стиле
E:\фото кухни 3\IMG_20250530_173817.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-seraya-032-detail-079.webp,uglovaya-kuhnya-sovremennaya-seraya-032-detail-079.webp,uglovaya-kuhnya,sovremennaya,seraya,unknown,matovye-fasady|derevyannaya-stoleshnica,medium,true,"Небольшая угловая кухня, фото на этапе ремонта.",Угловая серая кухня в современном стиле с деревянной столешницей
E:\фото кухни 3\IMG_20251024_184538.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-minimalizm-seraya-033-main.webp,uglovaya-kuhnya-minimalizm-seraya-033-main.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,matovye-fasady|bez-ruchek|derevyannaya-stoleshnica,medium,true,Один кадр небольшой угловой кухни.,Угловая серая кухня в стиле минимализм без ручек
E:\фото кухни 3\photo_2026-04-29_18-20-36.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-seraya-034-side-081.webp,pryamaya-kuhnya-minimalizm-seraya-034-side-081.webp,pryamaya-kuhnya,minimalizm,seraya,unknown,glyancevye-fasady|bez-ruchek,medium,true,"Серия фото среднего разрешения, нужна проверка качества.",Прямая серая кухня в стиле минимализм без ручек
E:\фото кухни 3\photo_2026-04-29_18-20-37.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-seraya-034-side-082.webp,pryamaya-kuhnya-minimalizm-seraya-034-side-082.webp,pryamaya-kuhnya,minimalizm,seraya,unknown,glyancevye-fasady|bez-ruchek,medium,true,"Серия фото среднего разрешения, нужна проверка качества.",Прямая серая кухня в стиле минимализм без ручек
E:\фото кухни 3\photo_2026-04-29_18-20-38.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-seraya-034-main.webp,pryamaya-kuhnya-minimalizm-seraya-034-main.webp,pryamaya-kuhnya,minimalizm,seraya,unknown,glyancevye-fasady|bez-ruchek,medium,true,"Серия фото среднего разрешения, нужна проверка качества.",Прямая серая кухня в стиле минимализм без ручек
E:\фото кухни 3\photo_2026-04-29_18-20-46.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-main.webp,uglovaya-kuhnya-neoklassika-belaya-035-main.webp,uglovaya-kuhnya,neoklassika,belaya,unknown,vstroennaya-tehnika|penal|podsvetka,medium,true,"Среднее разрешение и встроенный штамп камеры на части фото, нужна ручная проверка.",Угловая белая кухня в стиле неоклассика
E:\фото кухни 3\photo_2026-04-29_18-20-47 (2).jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-side-085.webp,uglovaya-kuhnya-neoklassika-belaya-035-side-085.webp,uglovaya-kuhnya,neoklassika,belaya,unknown,vstroennaya-tehnika|penal|podsvetka,medium,true,"Среднее разрешение и встроенный штамп камеры на части фото, нужна ручная проверка.",Угловая белая кухня в стиле неоклассика
E:\фото кухни 3\photo_2026-04-29_18-20-47 (3).jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-extra-02-086.webp,uglovaya-kuhnya-neoklassika-belaya-035-extra-02-086.webp,uglovaya-kuhnya,neoklassika,belaya,unknown,vstroennaya-tehnika|penal|podsvetka,medium,true,"Среднее разрешение и встроенный штамп камеры на части фото, нужна ручная проверка.",Угловая белая кухня в стиле неоклассика
E:\фото кухни 3\photo_2026-04-29_18-20-47 (4).jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-extra-03-087.webp,uglovaya-kuhnya-neoklassika-belaya-035-extra-03-087.webp,uglovaya-kuhnya,neoklassika,belaya,unknown,vstroennaya-tehnika|penal|podsvetka,medium,true,"Среднее разрешение и встроенный штамп камеры на части фото, нужна ручная проверка.",Угловая белая кухня в стиле неоклассика
E:\фото кухни 3\photo_2026-04-29_18-20-47.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-detail-088.webp,uglovaya-kuhnya-neoklassika-belaya-035-detail-088.webp,uglovaya-kuhnya,neoklassika,belaya,unknown,vstroennaya-tehnika|penal|podsvetka,medium,true,"Среднее разрешение и встроенный штамп камеры на части фото, нужна ручная проверка.",Угловая белая кухня в стиле неоклассика с подсветкой рабочей зоны
E:\фото кухни 3\photo_2026-04-29_18-21-00.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-minimalizm-seraya-036-main.webp,uglovaya-kuhnya-minimalizm-seraya-036-main.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,glyancevye-fasady|bez-ruchek,medium,true,"Один кадр среднего разрешения, нужно подтвердить пригодность.",Угловая серая кухня в стиле минимализм без ручек
